name;id;nametype;recclass;mass;fall;year;reclat;reclong;geometry/type;geometry/coordinates/0;geometry/coordinates/1;:@computed_region_cbhk_fwbd;:@computed_region_nnqa_25f4
Sutter's Mill;55529;Valid;C;992.5;Fell;2012-01-01T00:00:00.000;38.803890;-120.908060;Point;-120.90806;38.80389;8;1187
Kirbyville;12321;Valid;Eucrite-mmict;97.7;Fell;1906-01-01T00:00:00.000;30.750000;-95.950000;Point;-95.95;30.75;23;2018
Atemajac;4884;Valid;L6;94.2;Fell;1896-01-01T00:00:00.000;20.066670;-103.666670;Point;-103.66667;20.06667;;
Cumulus Hills 04075;32531;Valid;Pallasite;9.6;Found;2003-01-01T00:00:00.000;;;;;;;
Moorleah;16738;Valid;L6;8887.5;Fell;1930-01-01T00:00:00.000;-40.975000;145.600000;Point;145.6;-40.975;;
Krutikha;12363;Valid;OC;845.2;Fell;1906-01-01T00:00:00.000;56.800000;77.000000;Point;77;56.8;;
Suchy Dul;23737;Valid;L6;815.3;Fell;1969-01-01T00:00:00.000;50.538060;16.263330;Point;16.26333;50.53806;;
Crescent;5470;Valid;CM2;78.400000000000006;Fell;1936-01-01T00:00:00.000;35.950000;-97.583330;Point;-97.58333;35.95;20;2201
Kiel;12301;Valid;L6;737.6;Fell;1962-01-01T00:00:00.000;54.400000;10.150000;Point;10.15;54.4;;
Nyaung;17969;Valid;Iron, IIIAB;737.6;Fell;1939-01-01T00:00:00.000;21.208330;94.916670;Point;94.91667;21.20833;;
Soheria;23660;Valid;OC;72.900000000000006;Fell;1960-01-01T00:00:00.000;27.133330;84.066670;Point;84.06667;27.13333;;
Ivuna;12063;Valid;CI1;704.5;Fell;1938-01-01T00:00:00.000;-8.416670;32.433330;Point;32.43333;-8.41667;;
Dominion Range 03239;32591;Valid;L6;69.5;Found;2002-01-01T00:00:00.000;;;;;;;
Elbert;7822;Valid;LL6;680.5;Fell;1998-01-01T00:00:00.000;39.246670;-104.588170;Point;-104.58817;39.24667;9;88
Bloomington;5076;Valid;LL6;67.8;Fell;1938-01-01T00:00:00.000;40.480000;-89.004170;Point;-89.00417;40.48;34;1795
Kingai;12316;Valid;H6;67.400000000000006;Fell;1967-01-01T00:00:00.000;11.633330;24.683330;Point;24.68333;11.63333;;
