Year,Month,Day,Transect length,Sample,Time,Small Insects,Large insects,Column,Total Insects,Proportion large insects,Wind,Cloud cover,Precipitation,Temperature
1997,6,3,"1,2",1,"6,5",12,2,14,14,133.333.333,0,0,0,"27,00"
1997,6,3,"1,2",2,"14,58",10,1,11,11,83.333.333,0,0,0,"22,00"
1997,6,3,"1,2",3,"18,25",6,0,6,6,0,0,2,0,"14,00"
1997,6,4,"1,2",2,"11,83",7,0,7,7,0,0,6,0,"16,00"
1997,6,4,"1,2",1,"6,33",0,0,0,0,0,0,8,1,"14,00"
1997,6,4,"1,2",3,"18,17",0,0,0,0,0,0,8,1,"17,00"
1997,6,5,"1,2",1,"7,08",0,0,0,0,0,0,7,0,"16,00"
1997,6,6,"1,2",1,"6,25",0,0,0,0,0,0,0,0,"16,00"
1997,6,8,"1,2",1,"7,5",2,0,2,2,0,0,0,0,"16,00"
1997,6,9,"1,2",1,"7,17",4,0,4,4,0,3,8,1,"14,00"
1997,6,10,"1,2",1,"6,33",0,0,0,0,0,0,0,0,"12,00"
1997,6,10,"1,2",2,"13,25",3,0,3,3,0,0,0,0,"17,00"
1997,6,11,"1,2",1,"6,25",0,0,0,0,0,0,0,0,"20,00"
1997,6,11,"1,2",2,"13,25",4,1,5,5,166.666.667,0,1,0,"18,00"
1997,6,11,"1,2",3,"18,75",3,1,4,4,"0,2",0,1,0,"20,00"
1997,6,13,"1,2",1,"6,42",0,0,0,0,0,0,8,1,"16,00"
1997,6,14,"1,2",1,"7,83",2,2,4,4,"0,4",0,7,0,"18,00"
1997,6,16,"1,2",1,"6,67",0,0,0,0,0,3,8,1,"15,00"
1997,6,17,"1,2",3,19,3,0,3,3,0,0,1,0,"24,00"
1997,6,17,"1,2",2,"13,42",4,0,4,4,0,0,3,0,"21,00"
1997,6,17,"1,2",1,"6,83",4,0,4,4,0,0,4,0,"17,00"
1997,6,18,"1,2",1,"7,5",7,0,7,7,0,0,2,0,"17,00"
1997,6,19,"1,2",1,"7,17",10,0,10,10,0,1,5,0,"24,00"
1997,6,20,"1,2",1,"7,42",1,0,1,1,0,1,8,1,"17,00"
1997,6,21,"1,2",1,"8,5",0,0,0,0,0,2,8,1,"21,00"
1997,6,22,"1,2",1,"7,33",1,0,1,1,0,1,6,0,"24,00"
1997,6,23,"1,2",1,"6,5",5,0,5,5,0,0,7,0,"17,00"
1997,6,24,"1,2",2,"11,33",0,0,0,0,0,2,5,0,"27,00"
1997,6,24,"1,2",3,"18,83",0,0,0,0,0,3,7,0,"30,00"
1997,6,24,"1,2",1,"6,5",2,1,3,3,"0,25",0,8,1,"24,00"
1997,6,26,"1,2",1,"6,5",1,0,1,1,0,1,3,0,"16,00"
1997,6,27,"1,2",1,"18,5",8,0,8,8,0,0,8,1,"16,00"
1997,7,31,"1,2",1,"7,08",0,0,0,0,0,0,6,0,"14,00"
1997,7,32,"1,2",3,"18,08",8,0,8,8,0,0,1,0,"26,00"
1997,7,32,"1,2",1,"7,5",5,0,5,5,0,0,2,0,"14,00"
1997,7,32,"1,2",2,"11,92",7,0,7,7,0,1,6,0,"26,00"
1997,7,34,"1,2",1,"7,83",3,0,3,3,0,0,1,0,"16,00"
1997,7,35,"1,2",1,"8,08",3,0,3,3,0,1,3,0,"30,00"
1997,7,37,"1,2",1,"6,5",1,0,1,1,0,1,1,0,"24,00"
1997,7,37,"1,2",2,"10,67",5,0,5,5,0,2,1,0,"26,00"
1997,7,38,"1,2",2,"13,75",11,0,11,11,0,2,1,0,"17,00"
1997,7,38,"1,2",3,"18,75",9,0,9,9,0,1,1,0,"20,00"
1997,7,38,"1,2",1,"6,5",2,0,2,2,0,1,3,0,"29,00"
1997,7,39,"1,2",1,"9,17",12,1,13,13,71.428.571,1,0,0,"24,00"
1997,7,40,"1,2",1,"6,5",4,0,4,4,0,0,0,0,"22,00"
1997,7,43,"1,2",1,"7,25",6,0,6,6,0,0,6,0,"17,00"
1997,7,44,"1,2",1,"6,5",4,0,4,4,0,0,7,0,"27,00"
1997,7,45,"1,2",1,"8,25",7,0,7,7,0,0,6,0,"17,00"
1997,7,46,"1,2",3,"19,5",7,0,7,7,0,1,1,0,"19,00"
1997,7,46,"1,2",2,"11,92",5,1,6,6,142.857.143,2,2,0,"19,00"
1997,7,46,"1,2",1,"6,42",4,0,4,4,0,0,3,0,"19,00"
1997,7,47,"1,2",1,"6,5",6,0,6,6,0,0,1,0,"16,00"
1997,7,49,"1,2",1,"7,25",3,1,4,4,"0,2",2,1,0,"17,00"
1997,8,66,"1,2",1,9,4,0,4,4,0,0,0,0,"27,00"
1997,8,66,"1,2",2,12,5,0,5,5,0,0,0,0,"22,00"
1997,8,66,"1,2",3,18,6,1,7,7,125,0,0,0,"14,00"
